V1, V2
1054,2305
1055,1892
1055,2864
1056,2142
1056,3113
1056,3879
1060,3761
1060,2653
1060,2923
1060,1968
1060,2215
1060,2147
1060,2310
1060,1968
1060,1951
1062,2067
1062,2805
1063,2067
1063,2805
1064,2544
1064,2559
1067,2336
1067,1929
1067,1938
1068,2346
1069,2570
1069,3219
1069,2064
1073,1963
1073,3454
1073,3454
1073,3681
1074,3109
1078,3805
1079,2550
1079,2821
1079,2539
1086,3775
1086,2021
1086,2021
1086,2268
1086,3530
1089,3525
1089,3525
1089,3067
1089,2275
1089,3067
1089,2275
1089,2714
1089,2240
1089,2201
1089,3398
1089,2714
1089,2816
1089,3367
1089,2178
1089,3525
1089,2275
1090,3239
1090,3406
1091,2554
1091,3139
1091,3532
1091,3139
1093,3531
1093,3429
1093,2995
1093,2828
1093,3886
1093,3886
1093,3531
1097,3610
1098,3568
1098,1931
1099,1881
1102,3559
1102,3396
1102,2228
1102,2762
1102,3635
1102,3357
1102,2397
1102,2591
1102,3174
1102,2309
1102,2679
1102,3078
1102,3866
1102,2606
1102,3210
1102,3704
1102,3833
1102,3240
1102,3138
1102,2613
1102,3378
1102,2089
1102,3325
1102,3473
1102,3473
1102,3642
1102,3520
1102,3629
1102,2270
1102,2990
1102,2270
1102,2270
1102,2218
1102,1979
1102,3097
1102,3733
1102,1970
1102,1970
1102,3776
1102,2003
1102,2952
1102,2952
1102,2874
1102,2367
1102,2623
1102,3822
1102,3444
1102,2414
1102,3068
1102,2367
1102,3201
1102,3273
1102,2504
1102,2504
1102,3901
1102,2288
1102,3750
1102,2802
1102,2858
1102,3396
1102,2560
1102,2778
1102,3099
1102,2566
1102,2802
1102,3099
1102,3685
1102,2058
1102,2802
1102,3575
1102,2802
1102,2802
1102,3441
1102,2007
1102,3289
1102,2931
1102,3646
1102,2597
1102,3564
1102,2075
1102,2891
1102,3110
1102,3821
1102,3143
1102,3821
1102,2909
1102,2075
1102,3249
1102,2223
1102,3110
1102,1984
1102,3507
1102,3799
1102,1934
1102,2991
1102,2994
1102,2994
1102,3543
1102,3356
1102,2332
1102,2332
1102,3840
1102,3498
1102,3035
1102,3021
1102,3640
1102,3739
1102,3248
1102,3021
1102,3021
1102,2397
1102,2397
1102,2313
1102,2291
1102,2484
1102,2798
1102,2135
1102,3046
1102,2547
1102,3210
1102,2879
1102,2596
1102,2042
1102,2585
1102,2596
1102,2962
1102,3558
1102,2433
1102,3713
1102,2966
1102,2855
1102,2866
1102,3536
1102,2468
1102,2468
1102,3002
1102,3059
1102,3830
1102,3536
1102,3002
1102,2468
1102,2794
1102,2383
1102,3050
1102,3458
1102,2383
1102,2101
1102,2764
1102,2383
1102,2020
1102,2331
1102,2383
1102,2383
1102,3738
1102,3433
1102,2497
1102,3136
1102,3826
1102,3826
1102,2179
1102,1962
1102,1967
1102,1890
