id, ECLI, rechtsgebied, subrechtsgebied
2549, ECLI:NL:HR:2019:1783, Bestuursrecht, Belastingrecht
2550, ECLI:NL:HR:2011:BP2138, Bestuursrecht, Belastingrecht
2551, ECLI:NL:RVS:2012:BX2597, Bestuursrecht, 
2552, ECLI:NL:HR:2014:3606, Bestuursrecht, Belastingrecht
2553, ECLI:NL:RBMNE:2022:2386, Bestuursrecht, Socialezekerheidsrecht
2554, ECLI:NL:GHDHA:2016:2737, Civiel recht, Personen- en familierecht
2555, ECLI:NL:GHARL:2019:8307, Bestuursrecht, Bestuursstrafrecht
2556, ECLI:NL:RVS:2021:369, Bestuursrecht, 
2557, ECLI:NL:RVS:2023:4198, Bestuursrecht, Vreemdelingenrecht
2558, ECLI:NL:RBDHA:2023:19744, Civiel recht, 
2559, ECLI:NL:HR:2019:1787, Civiel recht, Burgerlijk procesrecht
2560, ECLI:NL:RVS:2016:1439, Bestuursrecht, 
2561, ECLI:NL:RBMNE:2023:1908, Bestuursrecht, Belastingrecht
2562, ECLI:NL:RVS:2023:2641, Bestuursrecht, Vreemdelingenrecht
2563, ECLI:NL:GHSHE:2007:BC3164, Bestuursrecht, Belastingrecht
2564, ECLI:NL:GHARL:2013:2333, Bestuursrecht, Bestuursstrafrecht
2565, ECLI:NL:HR:2007:BB4753, Bestuursrecht, Belastingrecht
2566, ECLI:NL:RVS:2024:3940, Bestuursrecht, 
2567, ECLI:NL:HR:1979:AB7302, Civiel recht, 
2568, ECLI:NL:RVS:2025:258, Bestuursrecht, Vreemdelingenrecht
2569, ECLI:NL:HR:2024:1913, Civiel recht, Insolventierecht
2570, ECLI:NL:RVS:2022:1684, Bestuursrecht, 
2571, ECLI:NL:RVS:2019:2738, Bestuursrecht, Vreemdelingenrecht
2572, ECLI:NL:HR:2010:BM1236, Bestuursrecht, Belastingrecht
2573, ECLI:NL:HR:2024:857, Bestuursrecht, Belastingrecht
2574, ECLI:NL:GHARL:2022:8003, Civiel recht, Personen- en familierecht
2575, ECLI:NL:RBNHO:2021:8413, Civiel recht, Personen- en familierecht
2576, ECLI:NL:CBB:2019:192, Bestuursrecht, 
2577, ECLI:NL:CRVB:2009:BK3713, Bestuursrecht, Socialezekerheidsrecht
2578, ECLI:NL:GHARL:2021:10307, Bestuursrecht, Belastingrecht
2579, ECLI:NL:CRVB:2024:726, Bestuursrecht, Socialezekerheidsrecht
2580, ECLI:NL:RBDHA:2024:4394, Bestuursrecht, Vreemdelingenrecht
2581, ECLI:NL:GHDHA:2024:1362, Civiel recht, Personen- en familierecht
2582, ECLI:NL:CRVB:2020:2634, Bestuursrecht, Socialezekerheidsrecht
2583, ECLI:NL:GHARL:2024:865, Civiel recht, 
2584, ECLI:NL:HR:2015:960, Bestuursrecht, Belastingrecht
2585, ECLI:NL:RVS:2013:875, Bestuursrecht, 
2586, ECLI:NL:RVS:2020:2559, Bestuursrecht, 
2587, ECLI:NL:HR:1999:AA4819, Civiel recht, Personen- en familierecht
2588, ECLI:NL:HR:2018:1115, Civiel recht, 
2589, ECLI:NL:HR:2023:1168, Bestuursrecht, Belastingrecht
2590, ECLI:NL:RBAMS:2024:4047, Strafrecht, Europees strafrecht
2591, ECLI:NL:RVS:2025:208, Bestuursrecht, 
2592, ECLI:NL:RVS:2018:2619, Bestuursrecht, Omgevingsrecht
2593, ECLI:NL:RBAMS:2018:294, Bestuursrecht, 
2594, ECLI:NL:RVS:2023:1374, Bestuursrecht, 
2595, ECLI:NL:RVS:2019:701, Bestuursrecht, Omgevingsrecht
