id, ECLI, rechtbank, rechtsgebied, subrechtsgebied
191, ECLI:NL:RBDHA:2025:5451, Bestuursrecht, Socialezekerheidsrecht
192, ECLI:NL:RBDHA:2024:7597, Bestuursrecht, Vreemdelingenrecht
193, ECLI:NL:GHARL:2018:10268, Bestuursrecht, Belastingrecht
194, ECLI:NL:HR:2008:BC1593, Bestuursrecht, Belastingrecht
195, ECLI:NL:HR:2017:675, Bestuursrecht, Belastingrecht
196, ECLI:NL:RVS:2025:1030, Bestuursrecht, 
197, ECLI:NL:GHARL:2024:4251, Strafrecht, Strafprocesrecht
198, ECLI:NL:RBAMS:2025:5751, Strafrecht, Europees strafrecht
199, ECLI:NL:HR:2025:1138, Civiel recht, Personen- en familierecht
200, ECLI:NL:RVS:2023:2138, Bestuursrecht, Vreemdelingenrecht
201, ECLI:NL:RBDHA:2022:2641, Bestuursrecht, Vreemdelingenrecht
202, ECLI:NL:GHSHE:2018:2713, Bestuursrecht, Belastingrecht
203, ECLI:NL:RVS:2024:825, Bestuursrecht, 
204, ECLI:NL:RBDHA:2024:7937, Bestuursrecht, Vreemdelingenrecht
205, ECLI:NL:GHDHA:2022:2158, Civiel recht, Personen- en familierecht
206, ECLI:NL:HR:2017:565, Civiel recht, 
207, ECLI:NL:GHARL:2025:2113, Strafrecht, 
208, ECLI:NL:RVS:2024:2644, Bestuursrecht, Vreemdelingenrecht
209, ECLI:NL:GHDHA:2025:1978, Civiel recht, Insolventierecht
210, ECLI:NL:GHDHA:2020:2116, Civiel recht, Personen- en familierecht
211, ECLI:NL:CBB:2015:42, Bestuursrecht, 
212, ECLI:NL:RVS:2021:1155, Bestuursrecht, Vreemdelingenrecht
213, ECLI:NL:RVS:2021:2623, Bestuursrecht, 
214, ECLI:NL:RVS:2004:AO7467, Bestuursrecht, 
215, ECLI:NL:RVS:2025:2200, Bestuursrecht, 
216, ECLI:NL:RVS:2022:835, Bestuursrecht, 
217, ECLI:NL:RVS:2020:42, Bestuursrecht, Vreemdelingenrecht
218, ECLI:NL:RVS:2024:2643, Bestuursrecht, Vreemdelingenrecht
219, ECLI:NL:HR:2018:511, Bestuursrecht, Belastingrecht
220, ECLI:NL:CRVB:2023:1386, Bestuursrecht, Socialezekerheidsrecht
221, ECLI:NL:GHARL:2025:253, Bestuursrecht, Bestuursstrafrecht
222, ECLI:NL:GHARL:2021:936, Bestuursrecht, Belastingrecht
223, ECLI:NL:HR:2020:1, Bestuursrecht, Belastingrecht
224, ECLI:NL:HR:2016:1271, Civiel recht, 
225, ECLI:NL:HR:2019:376, Civiel recht, 
226, ECLI:NL:CRVB:2019:2869, Bestuursrecht, Socialezekerheidsrecht
227, ECLI:NL:RVS:2025:1301, Bestuursrecht, 
228, ECLI:NL:RVS:2021:325, Bestuursrecht, 
229, ECLI:NL:HR:1983:AC2816, Bestuursrecht, 
230, ECLI:NL:HR:2025:1382, Bestuursrecht, Belastingrecht
231, ECLI:NL:HR:1980:AW9884, Bestuursrecht, Belastingrecht
232, ECLI:NL:HR:2017:185, Bestuursrecht, Belastingrecht
233, ECLI:NL:RVS:2023:913, Bestuursrecht, 
234, ECLI:NL:HR:2020:1069, Bestuursrecht, Belastingrecht
235, ECLI:NL:CBB:2024:33, Bestuursrecht, 
236, ECLI:NL:HR:2024:1370, Civiel recht, Burgerlijk procesrecht
237, ECLI:NL:RVS:2022:285, Bestuursrecht, 
238, ECLI:NL:CRVB:2024:2192, Bestuursrecht, Socialezekerheidsrecht
239, ECLI:NL:GHARL:2023:6787, Bestuursrecht, Bestuursstrafrecht
240, ECLI:NL:RBDHA:2025:3440, Bestuursrecht, Vreemdelingenrecht
241, ECLI:NL:HR:2006:AV0401, Bestuursrecht, Belastingrecht
242, ECLI:NL:HR:2016:49, Civiel recht, 
243, ECLI:NL:HR:1987:AD0058, Civiel recht, 
244, ECLI:NL:RBLIM:2013:BZ9966, Bestuursrecht, 
245, ECLI:NL:RBDHA:2025:19325, Bestuursrecht, Vreemdelingenrecht
246, ECLI:NL:RBMNE:2025:41, Bestuursrecht, 
247, ECLI:NL:RVS:2012:BV8770, Bestuursrecht, 
248, ECLI:NL:HR:2002:AE3437, Civiel recht, 
249, ECLI:NL:GHARL:2025:5863, Strafrecht, Strafprocesrecht
250, ECLI:NL:CRVB:2012:BV2512, Bestuursrecht, Socialezekerheidsrecht
251, ECLI:NL:RBDHA:2024:11549, Civiel recht, 
252, ECLI:NL:GHARL:2020:6722, Bestuursrecht, Bestuursstrafrecht
253, ECLI:NL:GHARL:2025:689, Civiel recht, 
254, ECLI:NL:HR:2010:BJ9082, Bestuursrecht, Belastingrecht
255, ECLI:NL:RBDHA:2023:3590, Bestuursrecht, Vreemdelingenrecht
256, ECLI:NL:HR:2013:BZ3643, Civiel recht, 
257, ECLI:NL:RVS:2000:AA6723, Bestuursrecht, Omgevingsrecht
258, ECLI:NL:GHARL:2015:7059, Bestuursrecht, Belastingrecht
259, ECLI:NL:GHAMS:2023:1451, Civiel recht, Personen- en familierecht
260, ECLI:NL:GHARL:2024:3805, Bestuursrecht, Bestuursstrafrecht
261, ECLI:NL:RVS:2024:844, Bestuursrecht, 
262, ECLI:NL:HR:2013:BY8101, Civiel recht, 
263, ECLI:NL:RVS:2022:3353, Bestuursrecht, Vreemdelingenrecht
264, ECLI:NL:HR:2021:1600, Civiel recht, 
265, ECLI:NL:GHARL:2022:7503, Bestuursrecht, Belastingrecht
266, ECLI:NL:RVS:2025:1118, Bestuursrecht, Vreemdelingenrecht
267, ECLI:NL:HR:2024:1729, Strafrecht, 
268, ECLI:NL:HR:2006:AW4064, Bestuursrecht, Belastingrecht
269, ECLI:NL:HR:2001:ZC3603, Civiel recht, Personen- en familierecht
270, ECLI:NL:RBZWB:2024:9009, Bestuursrecht, Bestuursprocesrecht
271, ECLI:NL:GHAMS:2024:1648, Bestuursrecht, Belastingrecht
272, ECLI:NL:HR:2011:BP8053, Bestuursrecht, Belastingrecht
273, ECLI:NL:RVS:2017:2883, Bestuursrecht, 
274, ECLI:NL:RVS:2018:3861, Bestuursrecht, Omgevingsrecht
275, ECLI:NL:RVS:2017:1744, Bestuursrecht, Vreemdelingenrecht
276, ECLI:NL:HR:2020:317, Bestuursrecht, Belastingrecht
277, ECLI:NL:HR:2018:1311, Bestuursrecht, Belastingrecht
278, ECLI:NL:RVS:2022:1918, Bestuursrecht, Vreemdelingenrecht
279, ECLI:NL:HR:2010:BM9132, Strafrecht, 
280, ECLI:NL:RVS:2021:1286, Bestuursrecht, 
281, ECLI:NL:HR:2014:8, Bestuursrecht, Belastingrecht
282, ECLI:NL:TGZCTG:2024:42, Bestuursrecht, Belastingrecht
283, ECLI:NL:OGHACMB:2024:220, Civiel recht, 
284, ECLI:NL:RVS:2023:155, Bestuursrecht, 
285, ECLI:NL:RVS:2015:483, Bestuursrecht, Vreemdelingenrecht
286, ECLI:NL:GHARL:2025:89, Bestuursrecht, Bestuursstrafrecht
287, ECLI:NL:RVS:2019:673, Bestuursrecht, 
288, ECLI:NL:RBDHA:2025:2327, Bestuursrecht, Vreemdelingenrecht
289, ECLI:NL:OGHACMB:2024:161, Civiel recht, 
290, ECLI:NL:RBLIM:2021:7942, Strafrecht, 
291, ECLI:NL:RBROT:2024:8308, Bestuursrecht, 
292, ECLI:NL:RVS:2015:1309, Bestuursrecht, Vreemdelingenrecht
293, ECLI:NL:RVS:2024:2323, Bestuursrecht, 
294, ECLI:NL:RBDHA:2024:7602, Bestuursrecht, Vreemdelingenrecht
295, ECLI:NL:CRVB:2023:2127, Bestuursrecht, Socialezekerheidsrecht
296, ECLI:NL:HR:2012:BW9230, Civiel recht, 
297, ECLI:NL:CRVB:2014:2592, Bestuursrecht, Ambtenarenrecht
298, ECLI:NL:RVS:2025:3344, Bestuursrecht, Vreemdelingenrecht
299, ECLI:NL:RVS:2006:AV1771, Bestuursrecht, 
300, ECLI:NL:RBZWB:2024:9008, Bestuursrecht, Bestuursprocesrecht
301, ECLI:NL:RBZWB:2023:8022, Bestuursrecht, 
302, ECLI:NL:HR:1986:AC9402, Bestuursrecht, 
303, ECLI:NL:RVS:2025:467, Bestuursrecht, 
304, ECLI:NL:RBDHA:2025:2966, Bestuursrecht, Socialezekerheidsrecht
305, ECLI:NL:HR:2025:160, Bestuursrecht, Belastingrecht
306, ECLI:NL:HR:2002:AD6867, Bestuursrecht, Belastingrecht
307, ECLI:NL:CRVB:2025:171, Bestuursrecht, Socialezekerheidsrecht
308, ECLI:NL:GHSHE:2025:671, Civiel recht, Insolventierecht
309, ECLI:NL:HR:2024:1918, Bestuursrecht, Belastingrecht
310, ECLI:NL:CRVB:2024:326, Bestuursrecht, Ambtenarenrecht
311, ECLI:NL:RVS:2011:BQ2684, Bestuursrecht, 
312, ECLI:NL:GHDHA:2025:207, Bestuursrecht, Belastingrecht
313, ECLI:NL:GHSHE:2011:BV2713, Bestuursrecht, Belastingrecht
314, ECLI:NL:RVS:2025:1836, Bestuursrecht, Vreemdelingenrecht
315, ECLI:NL:HR:1982:AC0442, Bestuursrecht, Vreemdelingenrecht
316, ECLI:NL:HR:2021:1513, Civiel recht, Personen- en familierecht
317, ECLI:NL:RVS:2024:32, Bestuursrecht, Vreemdelingenrecht
318, ECLI:NL:RVS:2022:1120, Bestuursrecht, Vreemdelingenrecht
319, ECLI:NL:HR:2025:1268, Civiel recht, Personen- en familierecht
320, ECLI:NL:HR:2006:AZ4416, Bestuursrecht, Belastingrecht
321, ECLI:NL:HR:2019:1783, Bestuursrecht, Belastingrecht
322, ECLI:NL:CRVB:2020:3421, Bestuursrecht, Socialezekerheidsrecht
